topic,paper_ID,text,main_heading,sub_heading,label,pos1,pos2,pos3,citation,head,ofs1,ofs2,ofs3
machine-translation,0,Learning Phrase Representations using RNN Encoder - Decoder for Statistical Machine Translation,title,title,1,2,1,1,0,title : title,0.0091324200913242,1.0,1.0
machine-translation,0,abstract,abstract,abstract,0,3,1,1,0,abstract : abstract,0.0136986301369863,0.16666666666666666,0.16666666666666666
machine-translation,0,"In this paper , we propose a novel neural network model called RNN Encoder - Decoder that consists of two recurrent neural networks ( RNN ) .",abstract,abstract,0,4,2,2,0,abstract : abstract,0.0182648401826484,0.3333333333333333,0.3333333333333333
machine-translation,0,"One RNN encodes a sequence of symbols into a fixedlength vector representation , and the other decodes the representation into another sequence of symbols .",abstract,abstract,0,5,3,3,0,abstract : abstract,0.0228310502283105,0.5,0.5
machine-translation,0,The encoder and decoder of the proposed model are jointly trained to maximize the conditional probability of a target sequence given a source sequence .,abstract,abstract,0,6,4,4,0,abstract : abstract,0.0273972602739726,0.6666666666666666,0.6666666666666666
machine-translation,0,The performance of a statistical machine translation system is empirically found to improve by using the conditional probabilities of phrase pairs computed by the RNN Encoder - Decoder as an additional feature in the existing log - linear model .,abstract,abstract,0,7,5,5,0,abstract : abstract,0.0319634703196347,0.8333333333333334,0.8333333333333334
machine-translation,0,"Qualitatively , we show that the proposed model learns a semantically and syntactically meaningful representation of linguistic phrases .",abstract,abstract,0,8,6,6,0,abstract : abstract,0.0365296803652968,1.0,1.0
machine-translation,0,Introduction,introduction,introduction,0,9,1,1,0,introduction : introduction,0.0410958904109589,0.037037037037037035,0.037037037037037035
machine-translation,0,"Deep neural networks have shown great success in various applications such as objection recognition ( see , e.g. , ) and speech recognition ( see , e.g. , ) .",introduction,introduction,0,10,2,2,0,introduction : introduction,0.045662100456621,0.07407407407407407,0.07407407407407407
machine-translation,0,"Furthermore , many recent works showed that neural networks can be successfully used in a number of tasks in natural language processing ( NLP ) .",introduction,introduction,0,11,3,3,0,introduction : introduction,0.0502283105022831,0.1111111111111111,0.1111111111111111
machine-translation,0,"These include , but are not limited to , language modeling , paraphrase detection and word embedding extraction .",introduction,introduction,0,12,4,4,0,introduction : introduction,0.0547945205479452,0.14814814814814814,0.14814814814814814
machine-translation,0,"In the field of statistical machine translation ( SMT ) , deep neural networks have begun to show promising results .",introduction,introduction,0,13,5,5,0,introduction : introduction,0.0593607305936073,0.18518518518518517,0.18518518518518517
machine-translation,0,summarizes a successful usage of feedforward neural networks in the framework of phrase - based SMT system .,introduction,introduction,0,14,6,6,0,introduction : introduction,0.0639269406392694,0.2222222222222222,0.2222222222222222
machine-translation,0,"Along this line of research on using neural networks for SMT , this paper focuses on a novel neural network architecture that can be used as apart of the conventional phrase - based SMT system .",introduction,introduction,1,15,7,7,0,introduction : introduction,0.0684931506849315,0.25925925925925924,0.25925925925925924
machine-translation,0,"The proposed neural network architecture , which we will refer to as an RNN Encoder - Decoder , consists of two recurrent neural networks ( RNN ) that act as an encoder and a decoder pair .",introduction,introduction,1,16,8,8,0,introduction : introduction,0.0730593607305936,0.2962962962962963,0.2962962962962963
machine-translation,0,"The encoder maps a variable - length source sequence to a fixed - length vector , and the decoder maps the vector representation back to a variable - length target sequence .",introduction,introduction,1,17,9,9,0,introduction : introduction,0.0776255707762557,0.3333333333333333,0.3333333333333333
machine-translation,0,The two networks are trained jointly to maximize the conditional probability of the target sequence given a source sequence .,introduction,introduction,1,18,10,10,0,introduction : introduction,0.0821917808219178,0.37037037037037035,0.37037037037037035
machine-translation,0,"Additionally , we propose to use a rather sophisticated hidden unit in order to improve both the memory capacity and the ease of training .",introduction,introduction,1,19,11,11,0,introduction : introduction,0.0867579908675799,0.4074074074074074,0.4074074074074074
machine-translation,0,The proposed RNN Encoder - Decoder with a novel hidden unit is empirically evaluated on the task of translating from English to French .,introduction,introduction,0,20,12,12,0,introduction : introduction,0.091324200913242,0.4444444444444444,0.4444444444444444
machine-translation,0,We train the model to learn the translation probability of an English phrase to a corresponding French phrase .,introduction,introduction,0,21,13,13,0,introduction : introduction,0.0958904109589041,0.48148148148148145,0.48148148148148145
machine-translation,0,The model is then used as apart of a standard phrase - based SMT system by scoring each phrase pair in the phrase table .,introduction,introduction,0,22,14,14,0,introduction : introduction,0.1004566210045662,0.5185185185185185,0.5185185185185185
machine-translation,0,The empirical evaluation reveals that this approach of scoring phrase pairs with an RNN Encoder - Decoder improves the translation performance .,introduction,introduction,0,23,15,15,0,introduction : introduction,0.1050228310502283,0.5555555555555556,0.5555555555555556
machine-translation,0,We qualitatively analyze the trained RNN Encoder - Decoder by comparing its phrase scores with those given by the existing translation model .,introduction,introduction,0,24,16,16,0,introduction : introduction,0.1095890410958904,0.5925925925925926,0.5925925925925926
machine-translation,0,"The qualitative analysis shows that the RNN Encoder - Decoder is better at capturing the linguistic regularities in the phrase table , indirectly explaining the quantitative improvements in the over all translation performance .",introduction,introduction,0,25,17,17,0,introduction : introduction,0.1141552511415525,0.6296296296296297,0.6296296296296297
machine-translation,0,The further analysis of the model reveals that the RNN Encoder - Decoder learns a continuous space representation of a phrase that preserves both the semantic and syntactic structure of the phrase .,introduction,introduction,0,26,18,18,0,introduction : introduction,0.1187214611872146,0.6666666666666666,0.6666666666666666
machine-translation,0,"recurrent neural network ( RNN ) is a neural network that consists of a hidden state hand an optional output y which operates on a variablelength sequence x = ( x 1 , . . . , x T ) .",introduction,introduction,0,27,19,19,0,introduction : introduction,0.1232876712328767,0.7037037037037037,0.7037037037037037
machine-translation,0,"At each time step t , the hidden state ht of the RNN is updated by",introduction,introduction,0,28,20,20,0,introduction : introduction,0.1278538812785388,0.7407407407407407,0.7407407407407407
machine-translation,0,where f is a non-linear activation function .,introduction,introduction,0,29,21,21,0,introduction : introduction,0.1324200913242009,0.7777777777777778,0.7777777777777778
machine-translation,0,maybe as simple as an elementwise logistic sigmoid function and as complex as along short - term memory ( LSTM ) unit ) .,introduction,introduction,0,30,22,22,0,introduction : introduction,0.136986301369863,0.8148148148148148,0.8148148148148148
machine-translation,0,An RNN can learn a probability distribution over a sequence by being trained to predict the next symbol in a sequence .,introduction,introduction,0,31,23,23,0,introduction : introduction,0.1415525114155251,0.8518518518518519,0.8518518518518519
machine-translation,0,"In that case , the output at each timestep t is the conditional distribution p ( x t | x t?1 , . . . , x 1 ) .",introduction,introduction,0,32,24,24,0,introduction : introduction,0.1461187214611872,0.8888888888888888,0.8888888888888888
machine-translation,0,"For example , a multinomial distribution ( 1 - of - K coding ) can be output using a softmax activation function",introduction,introduction,0,33,25,25,0,introduction : introduction,0.1506849315068493,0.9259259259259259,0.9259259259259259
machine-translation,0,"for all possible symbols j = 1 , . . . , K , where w j are the rows of a weight matrix W. By combining these probabilities , we can compute the probability of the sequence x using",introduction,introduction,0,34,26,26,0,introduction : introduction,0.1552511415525114,0.9629629629629629,0.9629629629629629
machine-translation,0,"From this learned distribution , it is straightforward to sample a new sequence by iteratively sampling a symbol at each time step .",introduction,introduction,0,35,27,27,0,introduction : introduction,0.1598173515981735,1.0,1.0
machine-translation,0,RNN Encoder - Decoder,system description,RNN Encoder-Decoder,0,36,1,1,0,system description : RNN Encoder-Decoder,0.1643835616438356,0.012195121951219513,0.08333333333333333
machine-translation,0,The RNN Encoder - Decoder used in the experiment had 1000 hidden units with the proposed gates at the encoder and at the decoder .,system description,RNN Encoder-Decoder,0,37,2,2,0,system description : RNN Encoder-Decoder,0.1689497716894977,0.024390243902439025,0.16666666666666666
machine-translation,0,"The input matrix between each input symbol x t and the hidden unit is approximated with two lower - rank matrices , and the output matrix is approximated similarly .",system description,RNN Encoder-Decoder,0,38,3,3,0,system description : RNN Encoder-Decoder,0.1735159817351598,0.036585365853658534,0.25
machine-translation,0,"We used rank - 100 matrices , equivalent to learning an embedding of dimension 100 for each word .",system description,RNN Encoder-Decoder,0,39,4,4,0,system description : RNN Encoder-Decoder,0.1780821917808219,0.04878048780487805,0.3333333333333333
machine-translation,0,The activation function used forh in Eq. ( 8 ) is a hyperbolic tangent function .,system description,RNN Encoder-Decoder,0,40,5,5,0,system description : RNN Encoder-Decoder,0.182648401826484,0.06097560975609756,0.4166666666666667
