topic,paper_ID,text,section,label,position,section_position,citation,length
machine-translation,8,Published as a conference paper at ICLR 2015 NEURAL MACHINE TRANSLATION BY JOINTLY LEARNING TO ALIGN AND TRANSLATE,title,1,2,1,0,18
machine-translation,8,abstract,abstract,0,3,1,0,1
machine-translation,8,Neural machine translation is a recently proposed approach to machine translation .,abstract,0,4,2,0,12
machine-translation,8,"Unlike the traditional statistical machine translation , the neural machine translation aims at building a single neural network that can be jointly tuned to maximize the translation performance .",abstract,0,5,3,0,29
machine-translation,8,The models proposed recently for neural machine translation often belong to a family of encoder - decoders and encode a source sentence into a fixed - length vector from which a decoder generates a translation .,abstract,0,6,4,0,36
machine-translation,8,"In this paper , we conjecture that the use of a fixed - length vector is a bottleneck in improving the performance of this basic encoder - decoder architecture , and propose to extend this by allowing a model to automatically ( soft - ) search for parts of a source sentence that are relevant to predicting a target word , without having to form these parts as a hard segment explicitly .",abstract,1,7,5,0,73
machine-translation,8,"With this new approach , we achieve a translation performance comparable to the existing state - of - the - art phrase - based system on the task of English - to - French translation .",abstract,0,8,6,0,36
machine-translation,8,"Furthermore , qualitative analysis reveals that the ( soft - ) alignments found by the model agree well with our intuition .",abstract,0,9,7,0,22
machine-translation,8,introduction,introduction,0,10,1,0,1
machine-translation,8,"Neural machine translation is a newly emerging approach to machine translation , recently proposed by , and .",introduction,1,11,2,0,18
machine-translation,8,"Unlike the traditional phrase - based translation system ( see , e.g. , which consists of many small sub-components thatare tuned separately , neural machine translation attempts to build and train a single , large neural network that reads a sentence and outputs a correct translation .",introduction,0,12,3,0,47
machine-translation,8,"Most of the proposed neural machine translation models belong to a family of encoderdecoders , with an encoder and a decoder for each language , or involve a language - specific encoder applied to each sentence whose outputs are then compared ) .",introduction,0,13,4,0,43
machine-translation,8,An encoder neural network reads and encodes a source sentence into a fixed - length vector .,introduction,0,14,5,0,17
machine-translation,8,A decoder then outputs a translation from the encoded vector .,introduction,0,15,6,0,11
